playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
robinbr01,Brooks Robinson,1956,15,44,5,10,4,0,1,1.0,1,0.0,0.0,0.0
robinfr02,Frank Robinson,1956,152,572,122,166,27,6,38,83.0,64,7.0,20.0,8.0
aaronha01,Hank Aaron,1956,153,609,106,200,34,14,26,92.0,37,6.0,2.0,5.0
kalinal01,Al Kaline,1956,153,617,96,194,32,10,27,128.0,70,4.0,1.0,1.0
mantlmi01,Mickey Mantle,1956,150,533,132,188,22,5,52,130.0,112,6.0,2.0,1.0
killeha01,Harmon Killebrew,1956,44,99,10,22,2,0,5,13.0,10,0.0,0.0,0.0
berrayo01,Yogi Berra,1956,140,521,93,155,29,2,30,105.0,65,7.0,5.0,1.0
bankser01,Ernie Banks,1956,139,538,82,160,25,8,28,85.0,52,18.0,0.0,0.0
mayswi01,Willie Mays,1956,152,578,101,171,27,8,36,84.0,68,20.0,1.0,0.0
aparilu01,Luis Aparicio,1956,152,533,69,142,19,6,3,56.0,34,2.0,1.0,14.0
musiast01,Stan Musial,1956,156,594,87,184,33,6,27,109.0,75,15.0,3.0,3.0
irvinmo01,Monte Irvin,1956,111,339,44,92,13,3,15,50.0,41,5.0,0.0,3.0
schoere01,Red Schoendienst,1956,92,334,39,99,12,3,2,14.0,28,1.0,2.0,2.0
schoere01,Red Schoendienst,1956,40,153,22,48,9,0,0,15.0,13,0.0,0.0,1.0
ashburi01,Richie Ashburn,1956,154,628,94,190,26,8,3,50.0,79,3.0,5.0,6.0
dobyla01,Larry Doby,1956,140,504,89,135,22,3,24,102.0,102,6.0,4.0,4.0
clemero01,Roberto Clemente,1956,147,543,66,169,30,7,7,60.0,13,2.0,4.0,8.0
willite01,Ted Williams,1956,136,400,71,138,28,2,24,82.0,102,11.0,1.0,0.0
mantlmi01,Mickey Mantle,1957,144,474,121,173,28,6,34,94.0,146,23.0,0.0,0.0
robinbr01,Brooks Robinson,1957,50,117,13,28,6,1,2,14.0,7,0.0,1.0,0.0
kellge01,George Kell,1957,99,310,28,92,9,0,9,44.0,25,2.0,2.0,7.0
willite01,Ted Williams,1957,132,420,96,163,28,1,38,87.0,119,33.0,5.0,0.0
kalinal01,Al Kaline,1957,149,577,83,170,29,4,23,90.0,43,7.0,3.0,6.0
bankser01,Ernie Banks,1957,156,594,113,169,34,6,43,102.0,70,11.0,3.0,2.0
mayswi01,Willie Mays,1957,152,585,112,195,26,20,35,97.0,76,15.0,1.0,0.0
ashburi01,Richie Ashburn,1957,156,626,93,186,26,8,0,33.0,94,1.0,4.0,1.0
matheed01,Eddie Mathews,1957,148,572,109,167,28,9,32,94.0,90,5.0,0.0,2.0
mazerbi01,Bill Mazeroski,1957,148,526,59,149,27,7,8,54.0,27,2.0,1.0,11.0
reesepe01,Pee Wee Reese,1957,103,330,33,74,3,1,1,29.0,39,1.0,1.0,6.0
killeha01,Harmon Killebrew,1957,9,31,4,9,2,0,2,5.0,2,0.0,0.0,0.0
dobyla01,Larry Doby,1957,119,416,57,120,27,2,14,79.0,56,3.0,2.0,0.0
clemero01,Roberto Clemente,1957,111,451,42,114,17,7,4,30.0,23,1.0,0.0,0.0
